test;size;step;type;bubble;binaryInsert;radix;selection;heap;counting;merge;quick
test_100_0;100;1000;0;82000;25900;23500;35900;25500;4500;21300;13500
test_1100_0;1100;1000;0;4667400;833900;81700;1402700;177100;14200;112000;76300
test_2100_0;2100;1000;0;38574800;5649400;282400;11551500;905100;65900;427000;287100
test_3100_0;3100;1000;0;78367800;10343900;402200;18496300;810900;86600;514600;358900
test_4100_0;4100;1000;0;87286400;12455300;336600;22021100;745100;80800;481200;358600
test_50_1;50;50;1;18800;9000;14900;9700;11200;47700;10500;6900
test_100_1;100;50;1;117500;38600;31800;49000;39100;70900;30500;22600
test_150_1;150;50;1;171800;49300;22700;66600;41600;49700;30300;23400
test_200_1;200;50;1;206900;53400;21600;74200;36100;35000;27900;22100
test_250_1;250;50;1;316900;77100;25100;112200;47000;35500;33500;25800
test_300_1;300;50;1;455300;102700;28800;157900;58300;37100;41300;34100
test_100_1;100;1000;1;75900;24900;20800;40900;24000;47800;19300;14800
test_1100_1;1100;1000;1;9786400;1780300;135100;2999700;417000;86000;268000;226100
test_2100_1;2100;1000;1;25566800;4106500;165700;6917700;566000;80000;352000;307900
test_3100_1;3100;1000;1;52551300;8850400;191600;12024200;710800;84000;433200;358700
test_4100_1;4100;1000;1;69460000;10963100;232100;18867500;893500;96400;531700;448000
test_50_2;50;50;2;3600;1400;7400;3600;5200;2100;3600;2200
test_100_2;100;50;2;13600;2900;9500;13100;11600;3300;6400;3900
test_150_2;150;50;2;30800;5200;12800;28400;18500;4300;10300;7000
test_200_2;200;50;2;135100;20600;33500;124000;65100;12800;36500;27500
test_250_2;250;50;2;221300;27800;38600;183700;83800;14800;42400;22700
test_300_2;300;50;2;317400;33800;53500;260200;104600;17300;53800;28600
test_100_2;100;1000;2;12800;2600;10500;12200;11600;2300;6400;3400
test_1100_2;1100;1000;2;1511600;45100;65400;1364400;182200;39500;78600;45400
test_2100_2;2100;1000;2;5509600;97200;118800;4903600;376100;56700;156900;67000
test_3100_2;3100;1000;2;31112600;453200;492500;26681500;1256800;151400;516500;190700
test_4100_2;4100;1000;2;39037300;374300;454000;26774100;1053600;123000;426500;200000
test_50_3;50;50;3;16700;6100;10100;5400;5900;1300;5200;1900
test_100_3;100;50;3;147300;48700;30900;45000;32900;7500;22100;10400
test_150_3;150;50;3;331700;102600;36400;94200;52800;11300;31000;13700
test_200_3;200;50;3;582700;176000;48700;162700;73900;15000;52700;22200
test_250_3;250;50;3;640800;207000;54100;225200;86300;16700;46000;19200
test_300_3;300;50;3;1179300;447400;50000;320300;107100;19800;56700;24200
test_100_3;100;1000;3;131400;43600;30000;39700;29000;6800;18200;8900
test_1100_3;1100;1000;3;7920500;1919600;102800;1924000;242400;24400;108900;41500
test_2100_3;2100;1000;3;24670900;6362300;179100;5826800;392800;53800;173200;65100
test_3100_3;3100;1000;3;44930100;11955800;169000;11274200;547500;71200;243200;95400
test_4100_3;4100;1000;3;138543300;55047200;304200;36032900;2879500;347900;1206400;412400
FINISH;0;0;0;0;0;0;0;0;0;0;0
test_50_0;50;50;0;25600;12300;22000;13400;13800;2900;15300;8500
test_100_0;100;50;0;67100;23300;19200;29600;22100;3800;20300;11600
test_150_0;150;50;0;156200;44500;23400;60600;33500;5600;29400;17400
test_200_0;200;50;0;151800;38900;15600;58700;27500;4200;22400;13600
test_250_0;250;50;0;546100;121600;69000;233200;86700;8200;52600;37500
test_300_0;300;50;0;850300;139700;48100;208000;48000;5200;33500;21000
test_100_0;100;1000;0;84500;27700;20200;30700;23900;2800;20400;15100
test_1100_0;1100;1000;0;5328700;805200;71600;1611900;180300;22300;121500;81000
test_2100_0;2100;1000;0;18846700;2729200;153200;7715000;561600;41700;334800;318100
test_3100_0;3100;1000;0;46164600;7484600;361600;16891000;840300;66600;386600;276300
test_4100_0;4100;1000;0;102280800;17228100;582700;27842200;753500;79600;469700;330600
test_50_1;50;50;1;18700;8700;15100;9700;10900;44900;10100;6800
test_100_1;100;50;1;99300;28500;23000;42800;29700;41700;20600;14100
test_150_1;150;50;1;125800;36700;19800;49400;28600;36200;22300;17400
test_200_1;200;50;1;248500;61800;23500;87200;42600;40100;30900;25100
test_250_1;250;50;1;400400;96800;31300;140900;59000;44700;42100;33000
test_300_1;300;50;1;509200;108300;23800;185500;77600;48300;55500;45400
test_100_1;100;1000;1;70000;21100;13200;22700;16700;33400;12700;9700
test_1100_1;1100;1000;1;7622100;1240500;88200;1960100;274000;57500;177600;151900
test_2100_1;2100;1000;1;23745800;3316500;134800;5680600;470600;66600;291400;241500
test_3100_1;3100;1000;1;55548200;6872800;188200;11734800;699700;84000;431700;355500
test_4100_1;4100;1000;1;162110200;24752600;446500;33510700;1409800;147100;847500;700900
test_50_2;50;50;2;5500;2400;11500;5600;7900;3300;5700;3200
test_100_2;100;50;2;20500;5100;16100;20200;17800;5300;10100;6100
test_150_2;150;50;2;93800;19300;40000;91000;57400;13200;34600;22800
test_200_2;200;50;2;172800;23100;39700;149900;77600;15500;43000;30800
test_250_2;250;50;2;267200;36900;57200;222500;101900;18000;54400;29300
test_300_2;300;50;2;191500;21700;32700;155600;63200;10400;32200;16800
test_100_2;100;1000;2;19300;4000;13900;18400;17600;3500;9600;4900
test_1100_2;1100;1000;2;2271300;67400;98300;2080700;273000;60500;117700;69800
test_2100_2;2100;1000;2;17074800;374000;386100;14112000;961500;141300;396900;180400
test_3100_2;3100;1000;2;25540200;343200;333100;19131700;983800;124400;407800;150100
test_4100_2;4100;1000;2;45853900;385300;410400;30700200;1212200;142200;484200;216300
test_50_3;50;50;3;39100;15500;25300;14000;14700;4000;12200;5700
test_100_3;100;50;3;151400;49800;31400;46200;33800;7800;22800;11200
test_150_3;150;50;3;341200;105900;43900;97600;62400;11700;31600;14100
test_200_3;200;50;3;604700;180100;44000;166400;81700;15100;40600;17400
test_250_3;250;50;3;957600;280000;61900;255900;97500;19200;51400;21800
test_300_3;300;50;3;1350200;408700;72200;364200;121800;22600;63800;25800
test_100_3;100;1000;3;149500;49300;30800;45300;32800;7700;20000;8900
test_1100_3;1100;1000;3;17412400;4791300;192400;3602600;406300;62300;221100;72500
test_2100_3;2100;1000;3;34262600;8220300;169600;7747000;496300;68300;223800;83600
test_3100_3;3100;1000;3;57611600;12619100;234200;11642800;617700;124300;604700;240600
test_4100_3;4100;1000;3;149183700;24361100;240300;41742300;845600;105900;359800;131700
FINISH;0;0;0;0;0;0;0;0;0;0;0
